# STITCH 1	STITCH 2	Polypharmacy Side Effect	Side Effect Name
CID000001302	CID000005064	C0027404	narcolepsy
CID000001302	CID000005064	C0014863	esophageal spasm
CID000001302	CID000005064	C0015230	eruption
CID000001302	CID000005064	C0267112	erosive gastritis
CID000001302	CID000005064	C0318712	gastroenteritis viral
CID000001302	CID000005064	C0024312	Lymphocytes decreased
CID000001302	CID000005064	C0678222	Breast cancer
CID000001302	CID000005064	C0033774	itch
CID000001302	CID000005064	C0002878	haemolytic anaemia
CID000001302	CID000005064	C0041909	upper gastrointestinal bleeding
CID000001302	CID000005064	C0022346	icterus
CID000001302	CID000005064	C0017160	gastroenteritis
CID000001302	CID000005064	C0030353	optic disc edema
CID000001302	CID000005064	C0851578	sleep disorder
CID000001302	CID000005064	C0036983	septic shock
CID000001302	CID000005064	C0080274	bladder retention
CID000001302	CID000005064	C0003564	Aphonia
CID000001302	CID000005064	C0030193	Pain
CID000001302	CID000005064	C0043117	idiopathic thrombocytopenic purpura
CID000001302	CID000005064	C0032308	pneumonia staphylococcal
CID000001302	CID000005064	C0002170	alopecia
CID000001302	CID000005064	C0009763	conjunctivitis
CID000001302	CID000005064	C0032300	lobar pneumonia
CID000001302	CID000005064	C0017658	glomerulonephritis
CID000001302	CID000005064	C0013295	duodenal ulcer
CID000001302	CID000005064	C0149871	deep vein thromboses
CID000001302	CID000005064	C0023530	leucopenia
CID000001302	CID000005064	C1260880	rhinorrhea
CID000001302	CID000005064	C0006444	bursitis
CID000001302	CID000005064	C0004144	atelectasis
CID000001302	CID000005064	C0151706	bleeding Vaginal
CID000001302	CID000005064	C0015256	Excoriation
CID000001302	CID000005064	C0032285	neumonia
CID000001302	CID000005064	C0035258	Ekbom Syndrome
CID000001302	CID000005064	C0027709	nephrocalcinosis
CID000001302	CID000005064	C0344232	blurred vision
CID000001302	CID000005064	C0034150	peliosis
CID000001302	CID000005064	C0034155	thrombotic microangiopathy
CID000001302	CID000005064	C0020456	hyperglycaemia
CID000001302	CID000005064	C0019112	haemorrhoids
CID000001302	CID000005064	C0020615	hypoglycaemia
CID000001302	CID000005064	C0012833	dizziness
CID000001302	CID000005064	C0032231	pleurisy
CID000001302	CID000005064	C0038814	sunburn
CID000001302	CID000005064	C0019825	Hoarseness
CID000001302	CID000005064	C0265031	Bleeding hemorrhoids
CID000001302	CID000005064	C0015672	Fatigue
CID000001302	CID000005064	C0013221	drug toxicity NOS
CID000001302	CID000005064	C0032290	aspiration pneumonia
CID000001302	CID000005064	C0267566	perirectal abscess
CID000001302	CID000005064	C0023798	lipoma
CID000001302	CID000005064	C0011991	diarrhea
CID000001302	CID000005064	C0004096	asthma
CID000001302	CID000005064	C0037284	skin lesion
CID000001302	CID000005064	C0040264	tinnitus
CID000001302	CID000005064	C0016199	flank pain
CID000001302	CID000005064	C0085584	encephalopathy
CID000001302	CID000005064	C0037763	muscle spasm
CID000001302	CID000005064	C0016059	fib
CID000001302	CID000005064	C0006840	Candida Infection
CID000001302	CID000005064	C0575081	Abnormal Gait
CID000001302	CID000005064	C0040822	tremor
CID000001302	CID000005064	C0017672	glossodynia
CID000001302	CID000005064	C0016167	anal fissure
CID000001302	CID000005064	C0042769	Infection Viral
CID000001302	CID000005064	C0020040	hot flash
CID000001302	CID000005064	C0010692	Bladder inflammation
CID000001302	CID000005064	C0007642	cellulitis
CID000001302	CID000005064	C0011615	allergic dermatitis
CID000001302	CID000005064	C0009806	constipated
CID000001302	CID000005064	C0005779	Clotting
CID000001302	CID000005064	C0030552	muscle paresis
CID000001302	CID000005064	C0085631	agitated
CID000001302	CID000005064	C0013384	abnormal movements
CID000001302	CID000005064	C0011053	deafness
CID000001302	CID000005064	C0042928	vocal cord paralysis
CID000001302	CID000005064	C0398353	Hypoventilation
CID000001302	CID000005064	C0151908	dry skin
CID000001302	CID000005064	C0155540	ear discharge
CID000001302	CID000005064	C0151827	eye pain
CID000001302	CID000005064	C0023418	Leukaemia
CID000001302	CID000005064	C0027092	myopia
CID000001302	CID000005064	C0022661	Chronic Kidney Disease
CID000001302	CID000005064	C0022660	acute kidney failure
CID000001302	CID000005064	C0040485	retrocollis
CID000001302	CID000005064	C0009241	cognitive disorder
CID000001302	CID000005064	C0008311	Cholangitis
CID000001302	CID000005064	C0020676	hypothyroid
CID000001302	CID000005064	C0011603	dermatitides
CID000001302	CID000005064	C0151766	Abnormal LFTs
CID000001302	CID000005064	C0039239	sinus tachycardia
CID000001302	CID000005064	C0011609	dermatitis medicamentosa
CID000001302	CID000005064	C0011206	acute brain syndrome
CID000001302	CID000005064	C0018784	Deafness neurosensory
CID000001302	CID000005064	C0026946	fungal disease
CID000001302	CID000005064	C0152029	nasal sinus congestion
CID000001302	CID000005064	C0700200	Near Syncope
CID000001302	CID000005064	C0014742	erythema multiforme
CID000001302	CID000005064	C0018944	haematoma
CID000001302	CID000005064	C0005758	bleb
CID000001302	CID000005064	C0027424	nasal congestion
CID000001302	CID000005064	C0002453	amenorrhea
CID000001302	CID000005064	C0014591	epistaxis
CID000001302	CID000005064	C0040034	thrombocytopenia
CID000001302	CID000005064	C0019158	hepatitis
CID000001302	CID000005064	C0009144	coated tongue
CID000001302	CID000005064	C0027947	Neutropenia
CID000001302	CID000005064	C0043144	wheeze
CID000001302	CID000005064	C0267596	haemorrhage rectum
CID000001302	CID000005064	C0000737	abdominal pain
CID000001302	CID000005064	C0008031	chest pain
CID000001302	CID000005064	C0242184	hypoxia
CID000001302	CID000005064	C0013404	Difficulty breathing
CID000001302	CID000005064	C0041296	Mycobacterium tuberculosis infection
CID000001302	CID000005064	C0008350	cholelithiasis
CID000001302	CID000005064	C0243026	sepsis
CID000001302	CID000005064	C0034212	pyoderma
CID000001302	CID000005064	C0023055	laryngeal neoplasia
CID000001302	CID000005064	C0018939	Blood disorder
CID000001302	CID000005064	C0033975	psychoses
CID000001302	CID000005064	C0231528	aching muscles
CID000001302	CID000005064	C0000833	abscess
CID000001302	CID000005064	C0041657	loss of consciousness
CID000001302	CID000005064	C0038663	attempted suicide
CID000001302	CID000005064	C0018520	bad breath
CID000001302	CID000005064	C0020649	arterial pressure NOS decreased
CID000001302	CID000005064	C0220981	metabolic acidosis
CID000001302	CID000005064	C0003869	Arthritis infective
CID000001302	CID000005064	C0018681	Head ache
CID000005267	CID000010631	C0043096	loss of weight
CID000005267	CID000010631	C0027441	nasopharyngitis
CID000005267	CID000010631	C0015230	eruption
CID000005267	CID000010631	C0014724	belching
CID000005267	CID000010631	C0085631	agitated
CID000005267	CID000010631	C0009806	constipated
CID000005267	CID000010631	C0035455	Rhinitis
CID000005267	CID000010631	C0022104	Colon Spastic
CID000005267	CID000010631	C0041834	erythema
CID000005267	CID000010631	C0027051	heart attack
CID000005267	CID000010631	C0023903	hepatic neoplasia
CID000005267	CID000010631	C0242528	azotaemia
CID000005267	CID000010631	C0040034	thrombocytopenia
CID000005267	CID000010631	C0027769	nervous tension
CID000005267	CID000010631	C0009676	confusion
CID000005267	CID000010631	C0162429	malnourished
CID000005267	CID000010631	C0700200	Near Syncope
CID000005267	CID000010631	C0027947	Neutropenia
CID000005267	CID000010631	C0151786	muscle weakness
CID000005267	CID000010631	C0013604	edema
CID000005267	CID000010631	C0020615	hypoglycaemia
CID000005267	CID000010631	C0022346	icterus
CID000005267	CID000010631	C0020598	Blood calcium decreased
CID000005267	CID000010631	C0002871	anaemia
CID000005267	CID000010631	C0085680	hypochloraemia
CID000005267	CID000010631	C0086543	cataract
CID000005267	CID000010631	C0232492	abdominal pain upper
CID000005267	CID000010631	C0917801	insomnia
CID000005267	CID000010631	C0013395	dyspepsia
CID000005267	CID000010631	C0004093	asthenia
CID000005267	CID000010631	C0243026	sepsis
CID000005267	CID000010631	C0039239	sinus tachycardia
CID000005267	CID000010631	C0042963	emesis
CID000005267	CID000010631	C0034065	Embolism pulmonary
CID000005267	CID000010631	C0019080	Bleeding
CID000005267	CID000010631	C0005424	biliary tract disorder
CID000005267	CID000010631	C0030193	Pain
CID000005267	CID000010631	C0162529	colitis ischemic
CID000005267	CID000010631	C0030196	Extremity pain
CID000005267	CID000010631	C0010054	arteriosclerotic heart disease
CID000005267	CID000010631	C0235329	Small intestinal obstruction
CID000005267	CID000010631	C0030554	Paraesthesia
CID000005267	CID000010631	C0003123	Anorexia
CID000005267	CID000010631	C0027651	neoplasia
CID000005267	CID000010631	C0002170	alopecia
CID000005267	CID000010631	C0009763	conjunctivitis
CID000005267	CID000010631	C0039070	Fainting
CID000005267	CID000010631	C0020625	blood sodium decreased
CID000005267	CID000010631	C0037383	sneezing
CID000005267	CID000010631	C0231218	Feeling unwell
CID000005267	CID000010631	C0020621	hypokalaemia
CID000005267	CID000010631	C0024050	lower GI bleeding
CID000005267	CID000010631	C0016382	facial flushing
CID000005267	CID000010631	C0023530	leucopenia
CID000004601	CID000005376	C0041834	erythema
CID000004601	CID000005376	C0004604	Back Ache
CID000004601	CID000005376	C0149931	migraine
CID000004601	CID000005376	C0038663	attempted suicide
CID000004601	CID000005376	C0158252	intervertebral disc disorder
CID000004601	CID000005376	C0398353	Hypoventilation
CID000004601	CID000005376	C0029456	osteoporosis
CID000004601	CID000005376	C0019112	haemorrhoids
CID000004601	CID000005376	C0020538	High blood pressure
CID000004601	CID000005376	C0678222	Breast cancer
CID000004601	CID000005376	C0221706	road traffic accident
CID000004601	CID000005376	C0012833	dizziness
CID000004601	CID000005376	C1510475	diverticulosis
CID000004601	CID000005376	C0003873	Arthritis rheumatoid
CID000004601	CID000005376	C0013404	Difficulty breathing
CID000004601	CID000005376	C0042798	Abnormal vision
CID000004601	CID000005376	C0020676	hypothyroid
CID000004601	CID000005376	C0003850	arteriosclerosis
CID000004601	CID000005376	C0038999	bulging
CID000004601	CID000005376	C0029408	Osteoarthritis
CID000004601	CID000005376	C0007785	cerebral infarct
CID000004601	CID000005376	C0917801	insomnia
CID000004601	CID000005376	C0004093	asthenia
CID000004601	CID000005376	C0008033	pleural pain
CID000004601	CID000005376	C0017168	acid reflux
CID000004601	CID000005376	C0016053	fibromyalgia
CID000004601	CID000005376	C0024902	breast pain
CID000004601	CID000005376	C0030252	palpitation
CID000004601	CID000005376	C0030193	Pain
CID000004601	CID000005376	C0030196	Extremity pain
CID000004601	CID000005376	C0019360	herpes zoster
CID000004601	CID000005376	C0006144	Breast cyst
CID000004601	CID000005376	C0231528	aching muscles
CID000004601	CID000005376	C0027080	myoglobinuria
CID000004601	CID000005376	C0041657	loss of consciousness
CID000004601	CID000005376	C0029442	osteomalacia
CID000004601	CID000005376	C0036396	ischias
CID000004601	CID000005376	C0003862	Aching joints
CID000004601	CID000005376	C0037763	muscle spasm
CID000004601	CID000005376	C0003864	arthritis
CID000004601	CID000005376	C0020040	hot flash
CID000004601	CID000005376	C0020649	arterial pressure NOS decreased
CID000004601	CID000005376	C0013146	abuse
CID000004601	CID000005376	C0009376	colonic polyp
CID000004601	CID000005376	C0018681	Head ache
CID000005090	CID000005556	C0008325	cholecystitis
CID000005090	CID000005556	C0041834	erythema
CID000005090	CID000005556	C0231807	Dyspnea exertional
CID000005090	CID000005556	C0151636	Extrasystoles Ventricular
CID000005090	CID000005556	C0001418	adenocarcinoma
CID000005090	CID000005556	C0003578	Apnea
CID000005090	CID000005556	C0013182	Drug hypersensitivity
CID000005090	CID000005556	C0035854	acne rosacea
CID000005090	CID000005556	C0009676	confusion
CID000005090	CID000005556	C0042024	Incontinence
CID000005090	CID000005556	C0318712	gastroenteritis viral
CID000005090	CID000005556	C0016977	gall bladder
CID000005090	CID000005556	C0221706	road traffic accident
CID000005090	CID000005556	C0002878	haemolytic anaemia
CID000005090	CID000005556	C0011880	diabetic acidosis
CID000005090	CID000005556	C0011884	Diabetic Retinopathy
CID000005090	CID000005556	C0005741	blepharitis
CID000005090	CID000005556	C0034186	pyelonephritis
CID000005090	CID000005556	C0043352	aptyalism
CID000005090	CID000005556	C0002871	anaemia
CID000005090	CID000005556	C0005747	Blepharospasm
CID000005090	CID000005556	C0002940	aneurysm
CID000005090	CID000005556	C0005001	benign prostatic hyperplasia
CID000005090	CID000005556	C0435630	wrist fracture
CID000005090	CID000005556	C0012691	dislocation
CID000005090	CID000005556	C1510431	Superficial thrombophlebitis
CID000005090	CID000005556	C0003564	Aphonia
CID000005090	CID000005556	C0030193	Pain
CID000005090	CID000005556	C0011124	Decreased Libido
CID000005090	CID000005556	C0011127	decubitus ulcer
CID000005090	CID000005556	C0035078	kidney failure
CID000005090	CID000005556	C0025289	meningitides
CID000005090	CID000005556	C0206062	ild
CID000005090	CID000005556	C0020625	blood sodium decreased
CID000005090	CID000005556	C0149871	deep vein thromboses
CID000005090	CID000005556	C0023530	leucopenia
CID000005090	CID000005556	C0014863	esophageal spasm
CID000005090	CID000005556	C0242453	prostatism
CID000005090	CID000005556	C0032285	neumonia
CID000005090	CID000005556	C0085614	Atrioventricular block first degree
CID000005090	CID000005556	C0344232	blurred vision
CID000005090	CID000005556	C0010200	Cough
CID000005090	CID000005556	C0032300	lobar pneumonia
CID000005090	CID000005556	C0042594	Vestibular disorder
CID000005090	CID000005556	C0086769	panic attack
CID000005090	CID000005556	C0497247	arterial pressure NOS increased
CID000005090	CID000005556	C0013604	edema
CID000005090	CID000005556	C0028084	nightmare
CID000005090	CID000005556	C0012833	dizziness
CID000005090	CID000005556	C0242528	azotaemia
CID000005090	CID000005556	C1321523	wandering atrial pacemaker
CID000005090	CID000005556	C0085680	hypochloraemia
CID000005090	CID000005556	C0024103	Breast Lump
CID000005090	CID000005556	C0015672	Fatigue
CID000005090	CID000005556	C0028734	nocturia
CID000005090	CID000005556	C0151786	muscle weakness
CID000005090	CID000005556	C0004093	asthenia
CID000005090	CID000005556	C0042571	spinning sensation
CID000005090	CID000005556	C0011991	diarrhea
CID000005090	CID000005556	C0040264	tinnitus
CID000005090	CID000005556	C0011849	Diabetes
CID000005090	CID000005556	C0006277	bronchitis
CID000005090	CID000005556	C0032584	polyp
CID000005090	CID000005556	C0029442	osteomalacia
CID000005090	CID000005556	C0029443	osteomyelitis
CID000005090	CID000005556	C0037763	muscle spasm
CID000005090	CID000005556	C0006840	Candida Infection
CID000005090	CID000005556	C0034069	lung fibrosis
CID000005090	CID000005556	C0019209	enlarged liver
CID000005090	CID000005556	C0575081	Abnormal Gait
CID000005090	CID000005556	C0043246	laceration
CID000005090	CID000005556	C0009421	coma
CID000005090	CID000005556	C0026846	amyotrophy
CID000005090	CID000005556	C0006625	cachectic
CID000005090	CID000005556	C0022679	renal cyst
CID000005090	CID000005556	C0031117	neuropathy peripheral
CID000005090	CID000005556	C0262428	collagenvascular disease
CID000005090	CID000005556	C0004623	Bacterial infection
CID000005090	CID000005556	C0235896	lung infiltration
CID000005090	CID000005556	C0042384	angiitis
CID000005090	CID000005556	C0036572	convulsion
CID000005090	CID000005556	C0162316	iron deficiency anaemia
CID000005090	CID000005556	C0878544	Cardiomyopathy
CID000005090	CID000005556	C0030554	Paraesthesia
CID000005090	CID000005556	C0006266	bronchial spasm
CID000005090	CID000005556	C0011053	deafness
CID000005090	CID000005556	C0158252	intervertebral disc disorder
CID000005090	CID000005556	C0015802	femur fracture
CID000005090	CID000005556	C0149756	fascitis plantar
CID000005090	CID000005556	C0018802	Cardiac decompensation
CID000005090	CID000005556	C0038362	mucositis oral
CID000005090	CID000005556	C0027769	nervous tension
CID000005090	CID000005556	C0152031	joint swelling
CID000005090	CID000005556	C0019270	hernia
CID000005090	CID000005556	C0151904	Aspartate Aminotransferase Increase
CID000005090	CID000005556	C0022660	acute kidney failure
CID000005090	CID000005556	C0018790	asystole
CID000005090	CID000005556	C0232492	abdominal pain upper
CID000005090	CID000005556	C0038999	bulging
CID000005090	CID000005556	C0017601	glaucoma
CID000005090	CID000005556	C0026265	mitral valve disease NOS
CID000005090	CID000005556	C0085649	edema extremities
CID000005090	CID000005556	C0149726	pulmonary mass
CID000005090	CID000005556	C0016034	breast dysplasia
CID000005090	CID000005556	C0004096	asthma
CID000005090	CID000005556	C0030252	palpitation
CID000005090	CID000005556	C0031542	Phlebitis
CID000005090	CID000005556	C0024121	lung neoplasms
CID000005090	CID000005556	C0575090	balance disorder
CID000005090	CID000005556	C0030312	bone marrow failure
CID000005090	CID000005556	C0011168	deglutition disorder
CID000005090	CID000005556	C0011206	acute brain syndrome
CID000005090	CID000005556	C0149931	migraine
CID000005090	CID000005556	C0001623	adrenal insufficiency
CID000005090	CID000005556	C0036396	ischias
CID000005090	CID000005556	C0152027	sensory disturbance
CID000005090	CID000005556	C0152025	polyneuropathy
CID000005090	CID000005556	C0392525	Nephrolithiasis
CID000005090	CID000005556	C0013362	dysarthria
CID000005090	CID000005556	C1145670	respiratory failure
CID000005090	CID000005556	C0014591	epistaxis
CID000005090	CID000005556	C0019080	Bleeding
CID000005090	CID000005556	C0017160	gastroenteritis
CID000005090	CID000005556	C0027947	Neutropenia
CID000005090	CID000005556	C0000737	abdominal pain
CID000005090	CID000005556	C0007785	cerebral infarct
CID000005090	CID000005556	C0242184	hypoxia
CID000005090	CID000005556	C0013404	Difficulty breathing
CID000005090	CID000005556	C0020651	Hypotension Orthostatic
CID000005090	CID000005556	C0008350	cholelithiasis
CID000005090	CID000005556	C0003864	arthritis
CID000005090	CID000005556	C0917801	insomnia
CID000005090	CID000005556	C0036439	Scoliosis
CID000005090	CID000005556	C0033975	psychoses
CID000005090	CID000005556	C0262385	autonomic instability
CID000005090	CID000005556	C0035410	rhabdomyolysis
CID000005090	CID000005556	C0231528	aching muscles
CID000005090	CID000005556	C0152169	renal colic
CID000005090	CID000005556	C0036983	septic shock
CID000005090	CID000005556	C0003862	Aching joints
CID000005090	CID000005556	C0023211	bundle branch block left
CID000005090	CID000005556	C0020649	arterial pressure NOS decreased
CID000005090	CID000005556	C0003869	Arthritis infective
CID000005090	CID000005556	C0018681	Head ache
CID000004946	CID000130881	C0038454	apoplexy
CID000004946	CID000130881	C0027441	nasopharyngitis
CID000004946	CID000130881	C0001339	acute pancreatitis
CID000004946	CID000130881	C0024523	malabsorption
CID000004946	CID000130881	C0022346	icterus
CID000004946	CID000130881	C0003537	aphasia
CID000004946	CID000130881	C0030554	Paraesthesia
CID000004946	CID000130881	C0002622	Amnesia
CID000004946	CID000130881	C0005758	bleb
CID000004946	CID000130881	C0575081	Abnormal Gait
CID000004946	CID000130881	C0398353	Hypoventilation
CID000004946	CID000130881	C0015967	body temperature increased
CID000004946	CID000130881	C0085624	burning sensation
CID000004946	CID000130881	C0085593	chill
CID000004946	CID000130881	C0013182	Drug hypersensitivity
CID000004946	CID000130881	C0031511	phaeochromocytoma
CID000004946	CID000130881	C0019080	Bleeding
CID000004946	CID000130881	C0042029	Infection Urinary Tract
CID000004946	CID000130881	C0022660	acute kidney failure
CID000004946	CID000130881	C0027947	Neutropenia
CID000004946	CID000130881	C0028081	night sweat
CID000004946	CID000130881	C0022575	keratitis sicca
CID000004946	CID000130881	C0043144	wheeze
CID000004946	CID000130881	C0011175	dehydration
CID000004946	CID000130881	C0022661	Chronic Kidney Disease
CID000004946	CID000130881	C0004134	Ataxia
CID000004946	CID000130881	C0007787	transient ischaemic attack
CID000004946	CID000130881	C0007784	cerebral haemorrhage
CID000004946	CID000130881	C0013404	Difficulty breathing
CID000004946	CID000130881	C0037383	sneezing
CID000004946	CID000130881	C0002871	anaemia
CID000004946	CID000130881	C0011860	Mod
CID000004946	CID000130881	C0013221	drug toxicity NOS
CID000004946	CID000130881	C0020443	elevated cholesterol
CID000004946	CID000130881	C0039231	heart rate increased
CID000004946	CID000130881	C0151766	Abnormal LFTs
CID000004946	CID000130881	C0243026	sepsis
CID000004946	CID000130881	C0008033	pleural pain
CID000004946	CID000130881	C0270996	eye swelling
CID000004946	CID000130881	C0033953	psychosexual disorder
CID000004946	CID000130881	C0151636	Extrasystoles Ventricular
CID000004946	CID000130881	C0003467	Anxiety
CID000004946	CID000130881	C0015469	facial palsy
CID000004946	CID000130881	C0033774	itch
CID000004946	CID000130881	C0043352	aptyalism
CID000004946	CID000130881	C0011124	Decreased Libido
CID000004946	CID000130881	C0035078	kidney failure
CID000004946	CID000130881	C0002792	anaphylactic reaction
CID000004946	CID000130881	C0013928	fat embolism
CID000004946	CID000130881	C0011206	acute brain syndrome
CID000004946	CID000130881	C0041956	ureteral obstruction
CID000004946	CID000130881	C0002170	alopecia
CID000004946	CID000130881	C0040822	tremor
CID000004946	CID000130881	C0086543	cataract
CID000004946	CID000130881	C0022658	disorder Renal
CID000004946	CID000130881	C0497247	arterial pressure NOS increased
CID000004946	CID000130881	C0020625	blood sodium decreased
CID000004946	CID000130881	C0027719	nephrosclerosis
CID000004946	CID000130881	C0024117	chronic obstructive airway disease
CID000004946	CID000130881	C0001957	delirium tremens
CID000004946	CID000130881	C0013144	drowsiness
CID000004946	CID000130881	C0003872	psoriatic arthritis
CID000004946	CID000130881	C0016382	facial flushing
CID000004946	CID000130881	C0344232	blurred vision
CID000005391	CID000005584	C0009806	constipated
CID000005391	CID000005584	C0032285	neumonia
CID000005391	CID000005584	C0085631	agitated
CID000005391	CID000005584	C0002622	Amnesia
CID000005391	CID000005584	C0027404	narcolepsy
CID000005391	CID000005584	C0038436	post traumatic stress disorder
CID000005391	CID000005584	C0023067	laryngitis
CID000005391	CID000005584	C0009676	confusion
CID000005391	CID000005584	C0042024	Incontinence
CID000005391	CID000005584	C0042373	angiopathy
CID000005391	CID000005584	C0028084	nightmare
CID000005391	CID000005584	C0012833	dizziness
CID000005391	CID000005584	C0021400	flu
CID000005391	CID000005584	C0004093	asthenia
CID000005391	CID000005584	C0013404	Difficulty breathing
CID000005391	CID000005584	C0002871	anaemia
CID000005391	CID000005584	C0007570	coeliac disease
CID000005391	CID000005584	C0001546	adjustment disorder
CID000005391	CID000005584	C0042571	spinning sensation
CID000005391	CID000005584	C0851578	sleep disorder
CID000005391	CID000005584	C0011991	diarrhea
CID000005391	CID000005584	C0042963	emesis
CID000005391	CID000005584	C0003467	Anxiety
CID000005391	CID000005584	C0086769	panic attack
CID000005391	CID000005584	C0009241	cognitive disorder
CID000005391	CID000005584	C0024586	carcinoid syndrome
CID000005391	CID000005584	C0027497	nausea
CID000005391	CID000005584	C0003123	Anorexia
CID000005391	CID000005584	C0398353	Hypoventilation
CID000005391	CID000005584	C0038663	attempted suicide
CID000005391	CID000005584	C0020625	blood sodium decreased
CID000005391	CID000005584	C0973461	dysphasia
CID000005391	CID000005584	C0024117	chronic obstructive airway disease
CID000005391	CID000005584	C0020649	arterial pressure NOS decreased
CID000005391	CID000005584	C0016382	facial flushing
CID000005391	CID000005584	C0152128	drug withdrawal
CID000002802	CID005381226	C0008325	cholecystitis
CID000002802	CID005381226	C0020538	High blood pressure
CID000002802	CID005381226	C0086769	panic attack
CID000002802	CID005381226	C0032290	aspiration pneumonia
CID000002802	CID005381226	C0032227	Pleural Effusion
CID000002802	CID005381226	C0037199	Sinusitis
CID000002802	CID005381226	C1145670	respiratory failure
