STITCH_1,STITCH_2,Polypharmacy_Side_Effect,Side_Effect_Name,STITCH_1_encoded,STITCH_2_encoded,drug_interaction_score,drug_sum,drug_diff,severity,affected_system,side_effect_category,severity_encoded,system_encoded,category_encoded,has_severe_interaction
CID000002173,CID000003345,C0220981,metabolic acidosis,7,2,14,9,5,moderate,other,metabolic,1,0,4,0
CID000002173,CID000003345,C0010692,Bladder inflammation,7,2,14,9,5,moderate,other,other,1,0,6,0
CID000002173,CID000003345,C0003962,ascites,7,2,14,9,5,moderate,other,other,1,0,6,0
CID000002173,CID000003345,C0013274,patent ductus arteriosis,7,2,14,9,5,moderate,other,other,1,0,6,0
CID000005206,CID000009433,C0040034,thrombocytopenia,36,21,756,57,15,severe,other,hematological,2,0,2,1
CID000005206,CID000009433,C0039239,sinus tachycardia,36,21,756,57,15,moderate,other,other,1,0,6,0
CID000005206,CID000009433,C0038450,stridor,36,21,756,57,15,moderate,other,other,1,0,6,0
CID000005206,CID000009433,C0497247,arterial pressure NOS increased,36,21,756,57,15,moderate,other,other,1,0,6,0
CID000005206,CID000009433,C0398353,Hypoventilation,36,21,756,57,15,moderate,other,other,1,0,6,0
CID000005206,CID000009433,C0013604,edema,36,21,756,57,15,moderate,other,other,1,0,6,0
CID000005206,CID000009433,C0023895,disease of liver,36,21,756,57,15,moderate,other,other,1,0,6,0
CID000005206,CID000009433,C0151904,Aspartate Aminotransferase Increase,36,21,756,57,15,moderate,other,other,1,0,6,0
CID000005206,CID000009433,C0277925,Cold extremities,36,21,756,57,15,moderate,other,other,1,0,6,0
CID000005206,CID000009433,C0013182,Drug hypersensitivity,36,21,756,57,15,moderate,other,other,1,0,6,0
CID000005206,CID000009433,C0016382,facial flushing,36,21,756,57,15,moderate,other,other,1,0,6,0
CID000005206,CID000009433,C0002792,anaphylactic reaction,36,21,756,57,15,moderate,other,other,1,0,6,0
CID000003929,CID000150610,C0015230,eruption,21,35,735,56,14,moderate,other,other,1,0,6,0
CID000003929,CID000150610,C0001339,acute pancreatitis,21,35,735,56,14,moderate,other,other,1,0,6,0
CID000003929,CID000150610,C0032285,neumonia,21,35,735,56,14,severe,other,other,2,0,6,1
CID000003929,CID000150610,C0013384,abnormal movements,21,35,735,56,14,moderate,other,other,1,0,6,0
CID000003929,CID000150610,C1145670,respiratory failure,21,35,735,56,14,severe,other,respiratory,2,0,8,1
CID000003929,CID000150610,C0001418,adenocarcinoma,21,35,735,56,14,moderate,other,other,1,0,6,0
CID000003929,CID000150610,C0019080,Bleeding,21,35,735,56,14,severe,other,hematological,2,0,2,1
CID000003929,CID000150610,C0040034,thrombocytopenia,21,35,735,56,14,severe,other,hematological,2,0,2,1
CID000003929,CID000150610,C0009676,confusion,21,35,735,56,14,moderate,other,neurological,1,0,5,0
CID000003929,CID000150610,C0162429,malnourished,21,35,735,56,14,moderate,other,other,1,0,6,0
CID000003929,CID000150610,C0019112,haemorrhoids,21,35,735,56,14,moderate,other,other,1,0,6,0
CID000003929,CID000150610,C0013604,edema,21,35,735,56,14,moderate,other,other,1,0,6,0
CID000003929,CID000150610,C0595939,still birth,21,35,735,56,14,moderate,other,other,1,0,6,0
CID000003929,CID000150610,C0002871,anaemia,21,35,735,56,14,moderate,other,other,1,0,6,0
CID000003929,CID000150610,C0013221,drug toxicity NOS,21,35,735,56,14,moderate,other,other,1,0,6,0
CID000003929,CID000150610,C0750426,increased white blood cell count,21,35,735,56,14,moderate,other,hematological,1,0,2,0
CID000003929,CID000150610,C0243026,sepsis,21,35,735,56,14,severe,other,infectious,2,0,3,1
CID000003929,CID000150610,C0085584,encephalopathy,21,35,735,56,14,moderate,other,other,1,0,6,0
CID000003929,CID000150610,C0003123,Anorexia,21,35,735,56,14,moderate,other,other,1,0,6,0
CID000003929,CID000150610,C0040822,tremor,21,35,735,56,14,moderate,other,other,1,0,6,0
CID000003929,CID000150610,C0018524,Hallucination,21,35,735,56,14,moderate,other,other,1,0,6,0
CID000003929,CID000150610,C0024117,chronic obstructive airway disease,21,35,735,56,14,moderate,other,other,1,0,6,0
CID000003929,CID000150610,C0013144,drowsiness,21,35,735,56,14,mild,other,other,0,0,6,0
CID000003929,CID000150610,C0018681,Head ache,21,35,735,56,14,moderate,other,pain,1,0,7,0
CID000001302,CID000005064,C0004601,back injury,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0041834,erythema,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0004604,Back Ache,3,14,42,17,11,moderate,other,pain,1,0,7,0
CID000001302,CID000005064,C0012569,Diplopia,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0038002,enlarged spleen,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0027404,narcolepsy,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0014863,esophageal spasm,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0015230,eruption,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0267112,erosive gastritis,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0318712,gastroenteritis viral,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0024312,Lymphocytes decreased,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0678222,Breast cancer,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0033774,itch,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0002878,haemolytic anaemia,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0041909,upper gastrointestinal bleeding,3,14,42,17,11,moderate,other,hematological,1,0,2,0
CID000001302,CID000005064,C0022346,icterus,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0017160,gastroenteritis,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0030353,optic disc edema,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0851578,sleep disorder,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0036983,septic shock,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0080274,bladder retention,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0003564,Aphonia,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0030193,Pain,3,14,42,17,11,moderate,other,pain,1,0,7,0
CID000001302,CID000005064,C0043117,idiopathic thrombocytopenic purpura,3,14,42,17,11,moderate,other,hematological,1,0,2,0
CID000001302,CID000005064,C0032308,pneumonia staphylococcal,3,14,42,17,11,moderate,other,respiratory,1,0,8,0
CID000001302,CID000005064,C0002170,alopecia,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0009763,conjunctivitis,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0032300,lobar pneumonia,3,14,42,17,11,moderate,other,respiratory,1,0,8,0
CID000001302,CID000005064,C0017658,glomerulonephritis,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0013295,duodenal ulcer,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0149871,deep vein thromboses,3,14,42,17,11,severe,other,other,2,0,6,1
CID000001302,CID000005064,C0023530,leucopenia,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C1260880,rhinorrhea,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0006444,bursitis,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0004144,atelectasis,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0151706,bleeding Vaginal,3,14,42,17,11,moderate,other,hematological,1,0,2,0
CID000001302,CID000005064,C0015256,Excoriation,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0032285,neumonia,3,14,42,17,11,severe,other,other,2,0,6,1
CID000001302,CID000005064,C0035258,Ekbom Syndrome,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0027709,nephrocalcinosis,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0344232,blurred vision,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0034150,peliosis,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0034155,thrombotic microangiopathy,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0020456,hyperglycaemia,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0019112,haemorrhoids,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0020615,hypoglycaemia,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0012833,dizziness,3,14,42,17,11,mild,other,neurological,0,0,5,0
CID000001302,CID000005064,C0032231,pleurisy,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0038814,sunburn,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0019825,Hoarseness,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0265031,Bleeding hemorrhoids,3,14,42,17,11,moderate,other,hematological,1,0,2,0
CID000001302,CID000005064,C0015672,Fatigue,3,14,42,17,11,mild,other,other,0,0,6,0
CID000001302,CID000005064,C0013221,drug toxicity NOS,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0032290,aspiration pneumonia,3,14,42,17,11,moderate,other,respiratory,1,0,8,0
CID000001302,CID000005064,C0267566,perirectal abscess,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0023798,lipoma,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0011991,diarrhea,3,14,42,17,11,mild,other,gastrointestinal,0,0,1,0
CID000001302,CID000005064,C0004096,asthma,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0037284,skin lesion,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0040264,tinnitus,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0016199,flank pain,3,14,42,17,11,moderate,other,pain,1,0,7,0
CID000001302,CID000005064,C0085584,encephalopathy,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0037763,muscle spasm,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0016059,fib,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0006840,Candida Infection,3,14,42,17,11,moderate,other,infectious,1,0,3,0
CID000001302,CID000005064,C0575081,Abnormal Gait,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0040822,tremor,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0017672,glossodynia,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0016167,anal fissure,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0042769,Infection Viral,3,14,42,17,11,moderate,other,infectious,1,0,3,0
CID000001302,CID000005064,C0020040,hot flash,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0010692,Bladder inflammation,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0007642,cellulitis,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0011615,allergic dermatitis,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0009806,constipated,3,14,42,17,11,mild,other,gastrointestinal,0,0,1,0
CID000001302,CID000005064,C0005779,Clotting,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0030552,muscle paresis,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0085631,agitated,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0013384,abnormal movements,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0011053,deafness,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0042928,vocal cord paralysis,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0398353,Hypoventilation,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0151908,dry skin,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0155540,ear discharge,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0151827,eye pain,3,14,42,17,11,moderate,other,pain,1,0,7,0
CID000001302,CID000005064,C0023418,Leukaemia,3,14,42,17,11,severe,other,other,2,0,6,1
CID000001302,CID000005064,C0027092,myopia,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0022661,Chronic Kidney Disease,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0022660,acute kidney failure,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0040485,retrocollis,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0009241,cognitive disorder,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0008311,Cholangitis,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0020676,hypothyroid,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0011603,dermatitides,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0151766,Abnormal LFTs,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0039239,sinus tachycardia,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0011609,dermatitis medicamentosa,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0011206,acute brain syndrome,3,14,42,17,11,moderate,other,neurological,1,0,5,0
CID000001302,CID000005064,C0018784,Deafness neurosensory,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0026946,fungal disease,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0152029,nasal sinus congestion,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0700200,Near Syncope,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0014742,erythema multiforme,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0018944,haematoma,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0005758,bleb,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0027424,nasal congestion,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0002453,amenorrhea,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0014591,epistaxis,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0040034,thrombocytopenia,3,14,42,17,11,severe,other,hematological,2,0,2,1
CID000001302,CID000005064,C0019158,hepatitis,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0009144,coated tongue,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0027947,Neutropenia,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0043144,wheeze,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0267596,haemorrhage rectum,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0000737,abdominal pain,3,14,42,17,11,moderate,other,gastrointestinal,1,0,1,0
CID000001302,CID000005064,C0008031,chest pain,3,14,42,17,11,moderate,other,cardiovascular,1,0,0,0
CID000001302,CID000005064,C0242184,hypoxia,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0013404,Difficulty breathing,3,14,42,17,11,moderate,other,respiratory,1,0,8,0
CID000001302,CID000005064,C0041296,Mycobacterium tuberculosis infection,3,14,42,17,11,moderate,other,infectious,1,0,3,0
CID000001302,CID000005064,C0008350,cholelithiasis,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0243026,sepsis,3,14,42,17,11,severe,other,infectious,2,0,3,1
CID000001302,CID000005064,C0034212,pyoderma,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0023055,laryngeal neoplasia,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0018939,Blood disorder,3,14,42,17,11,moderate,other,hematological,1,0,2,0
CID000001302,CID000005064,C0033975,psychoses,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0231528,aching muscles,3,14,42,17,11,moderate,other,pain,1,0,7,0
CID000001302,CID000005064,C0000833,abscess,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0041657,loss of consciousness,3,14,42,17,11,severe,other,other,2,0,6,1
CID000001302,CID000005064,C0038663,attempted suicide,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0018520,bad breath,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0020649,arterial pressure NOS decreased,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0220981,metabolic acidosis,3,14,42,17,11,moderate,other,metabolic,1,0,4,0
CID000001302,CID000005064,C0003869,Arthritis infective,3,14,42,17,11,moderate,other,other,1,0,6,0
CID000001302,CID000005064,C0018681,Head ache,3,14,42,17,11,moderate,other,pain,1,0,7,0
CID000005267,CID000010631,C0043096,loss of weight,37,22,814,59,15,mild,other,other,0,0,6,0
CID000005267,CID000010631,C0027441,nasopharyngitis,37,22,814,59,15,moderate,other,other,1,0,6,0
CID000005267,CID000010631,C0015230,eruption,37,22,814,59,15,moderate,other,other,1,0,6,0
CID000005267,CID000010631,C0014724,belching,37,22,814,59,15,moderate,other,other,1,0,6,0
CID000005267,CID000010631,C0085631,agitated,37,22,814,59,15,moderate,other,other,1,0,6,0
CID000005267,CID000010631,C0009806,constipated,37,22,814,59,15,mild,other,gastrointestinal,0,0,1,0
CID000005267,CID000010631,C0035455,Rhinitis,37,22,814,59,15,moderate,other,other,1,0,6,0
CID000005267,CID000010631,C0022104,Colon Spastic,37,22,814,59,15,moderate,other,other,1,0,6,0
CID000005267,CID000010631,C0041834,erythema,37,22,814,59,15,moderate,other,other,1,0,6,0
CID000005267,CID000010631,C0027051,heart attack,37,22,814,59,15,severe,other,cardiovascular,2,0,0,1
CID000005267,CID000010631,C0023903,hepatic neoplasia,37,22,814,59,15,moderate,other,other,1,0,6,0
CID000005267,CID000010631,C0242528,azotaemia,37,22,814,59,15,moderate,other,other,1,0,6,0
CID000005267,CID000010631,C0040034,thrombocytopenia,37,22,814,59,15,severe,other,hematological,2,0,2,1
CID000005267,CID000010631,C0027769,nervous tension,37,22,814,59,15,moderate,other,other,1,0,6,0
CID000005267,CID000010631,C0009676,confusion,37,22,814,59,15,moderate,other,neurological,1,0,5,0
CID000005267,CID000010631,C0162429,malnourished,37,22,814,59,15,moderate,other,other,1,0,6,0
CID000005267,CID000010631,C0700200,Near Syncope,37,22,814,59,15,moderate,other,other,1,0,6,0
CID000005267,CID000010631,C0027947,Neutropenia,37,22,814,59,15,moderate,other,other,1,0,6,0
CID000005267,CID000010631,C0151786,muscle weakness,37,22,814,59,15,moderate,other,other,1,0,6,0
CID000005267,CID000010631,C0013604,edema,37,22,814,59,15,moderate,other,other,1,0,6,0
CID000005267,CID000010631,C0020615,hypoglycaemia,37,22,814,59,15,moderate,other,other,1,0,6,0
CID000005267,CID000010631,C0022346,icterus,37,22,814,59,15,moderate,other,other,1,0,6,0
CID000005267,CID000010631,C0020598,Blood calcium decreased,37,22,814,59,15,moderate,other,hematological,1,0,2,0
CID000005267,CID000010631,C0002871,anaemia,37,22,814,59,15,moderate,other,other,1,0,6,0
CID000005267,CID000010631,C0085680,hypochloraemia,37,22,814,59,15,moderate,other,other,1,0,6,0
CID000005267,CID000010631,C0086543,cataract,37,22,814,59,15,moderate,other,other,1,0,6,0
CID000005267,CID000010631,C0232492,abdominal pain upper,37,22,814,59,15,moderate,other,gastrointestinal,1,0,1,0
CID000005267,CID000010631,C0917801,insomnia,37,22,814,59,15,moderate,other,other,1,0,6,0
CID000005267,CID000010631,C0013395,dyspepsia,37,22,814,59,15,moderate,other,other,1,0,6,0
CID000005267,CID000010631,C0004093,asthenia,37,22,814,59,15,moderate,other,other,1,0,6,0
CID000005267,CID000010631,C0243026,sepsis,37,22,814,59,15,severe,other,infectious,2,0,3,1
CID000005267,CID000010631,C0039239,sinus tachycardia,37,22,814,59,15,moderate,other,other,1,0,6,0
CID000005267,CID000010631,C0042963,emesis,37,22,814,59,15,moderate,other,other,1,0,6,0
CID000005267,CID000010631,C0034065,Embolism pulmonary,37,22,814,59,15,severe,other,other,2,0,6,1
CID000005267,CID000010631,C0019080,Bleeding,37,22,814,59,15,severe,other,hematological,2,0,2,1
CID000005267,CID000010631,C0005424,biliary tract disorder,37,22,814,59,15,moderate,other,other,1,0,6,0
CID000005267,CID000010631,C0030193,Pain,37,22,814,59,15,moderate,other,pain,1,0,7,0
CID000005267,CID000010631,C0162529,colitis ischemic,37,22,814,59,15,moderate,other,other,1,0,6,0
CID000005267,CID000010631,C0030196,Extremity pain,37,22,814,59,15,moderate,other,pain,1,0,7,0
CID000005267,CID000010631,C0010054,arteriosclerotic heart disease,37,22,814,59,15,moderate,other,cardiovascular,1,0,0,0
CID000005267,CID000010631,C0235329,Small intestinal obstruction,37,22,814,59,15,moderate,other,other,1,0,6,0
CID000005267,CID000010631,C0030554,Paraesthesia,37,22,814,59,15,moderate,other,other,1,0,6,0
CID000005267,CID000010631,C0003123,Anorexia,37,22,814,59,15,moderate,other,other,1,0,6,0
CID000005267,CID000010631,C0027651,neoplasia,37,22,814,59,15,moderate,other,other,1,0,6,0
CID000005267,CID000010631,C0002170,alopecia,37,22,814,59,15,moderate,other,other,1,0,6,0
